code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00289,64.0,51,0,0,0.35
HK.00290,15.0,62,0,0,0.75
HK.00291,24.0,19,1,1,0.95
HK.00293,84.0,67,0,0,0.35
HK.00294,85.0,85,0,0,0.1
HK.00295,42.0,61,0,0,0.55
HK.00296,21.0,17,1,5,0.75
HK.00297,38.0,24,1,10,0.5
HK.00298,45.0,47,0,0,0.4
HK.00299,62.0,58,0,0,0.15
HK.00300,80.0,56,1,5,0.25
HK.00301,98.0,91,0,0,0.0
HK.00302,16.0,38,1,6,0.65
HK.00303,54.0,63,0,0,0.6
HK.00305,20.0,12,1,18,0.95
HK.00306,66.0,36,1,5,0.35
HK.00308,59.0,60,0,0,0.25
HK.00309,14.0,26,1,8,0.9
HK.00311,88.0,88,0,0,0.05
HK.00312,24.0,24,0,0,0.95
HK.00313,45.0,53,0,0,0.35
HK.00314,31.0,78,0,0,0.1
HK.00315,70.0,66,0,0,0.0
HK.00316,80.0,45,0,0,0.85
HK.00317,78.0,89,0,0,0.0
HK.00318,88.0,55,0,0,0.15
HK.00320,45.0,50,0,0,0.45
HK.00321,50.0,15,1,16,0.95
HK.00322,72.0,38,1,16,0.95
HK.00323,27.0,39,1,4,0.25
HK.00325,74.0,72,1,9,0.55
HK.00326,92.0,26,1,1,0.8
HK.00327,47.0,43,1,8,0.4
HK.00328,5.0,90,0,0,0.15
HK.00329,2.0,3,1,30,1.0
HK.00330,7.0,17,1,5,0.55
HK.00331,52.0,51,0,0,0.5
HK.00332,4.0,43,1,1,0.55
HK.00333,28.0,30,1,13,0.65
HK.00334,28.0,9,1,30,1.0
HK.00335,65.0,69,0,0,0.05
HK.00336,65.0,87,0,0,0.2
HK.00337,4.0,3,1,2,0.85
HK.00338,43.0,40,1,10,0.5
HK.00340,81.0,72,1,13,0.65
HK.00341,71.0,65,1,1,0.25
HK.00343,74.0,96,0,0,0.4
HK.00345,59.0,67,0,0,0.0
HK.00346,18.0,54,0,0,0.35
