code,rs_percentile_12m,rs_percentile_3m
HK.00603,18.0,49
HK.00604,27.0,22
HK.00605,36.0,30
HK.00606,45.0,61
HK.00607,6.0,1
HK.00608,33.0,26
HK.00609,32.0,46
HK.00610,75.0,67
HK.00611,39.0,30
HK.00613,96.0,91
HK.00616,2.0,54
HK.00617,50.0,83
HK.00618,87.0,31
HK.00619,46.0,41
HK.00620,15.0,14
HK.00621,23.0,14
HK.00622,97.0,93
HK.00623,73.0,74
HK.00626,93.0,97
HK.00627,18.0,3
HK.00628,66.0,8
HK.00629,34.0,24
HK.00630,26.0,95
HK.00631,80.0,89
HK.00632,9.0,28
HK.00635,74.0,82
HK.00636,54.0,67
HK.00637,58.0,55
HK.00639,76.0,84
HK.00640,55.0,38
HK.00641,78.0,53
HK.00643,12.0,14
HK.00645,86.0,76
HK.00646,94.0,98
HK.00648,0.0,2
HK.00650,19.0,7
HK.00653,92.0,97
HK.00655,84.0,44
HK.00656,78.0,80
HK.00657,80.0,93
HK.00658,8.0,10
HK.00659,69.0,53
HK.00660,92.0,72
HK.00661,89.0,90
HK.00662,72.0,62
HK.00664,,11
HK.00666,12.0,10
HK.00667,25.0,24
HK.00669,83.0,48
HK.00670,16.0,13
HK.00672,15.0,17
HK.00673,5.0,4
HK.00674,27.0,66
HK.00675,59.0,45
HK.00676,68.0,61
HK.00677,77.0,82
HK.00679,97.0,3
HK.00681,47.0,64
HK.00682,39.0,41
HK.00683,49.0,36
HK.00684,35.0,74
HK.00685,50.0,47
HK.00686,15.0,19
HK.00687,85.0,91
HK.00688,49.0,21
HK.00689,28.0,23
HK.00690,17.0,71
HK.00691,3.0,17
HK.00693,59.0,52
HK.00694,24.0,35
HK.00695,78.0,39
HK.00696,51.0,68
HK.00697,18.0,6
HK.00698,23.0,80
HK.00700,37.0,41
HK.00701,11.0,30
HK.00702,65.0,57
HK.00703,20.0,32
HK.00704,52.0,57
HK.00707,65.0,57
HK.00708,65.0,57
HK.00709,60.0,55
HK.00710,41.0,55
HK.00711,73.0,67
HK.00712,10.0,31
HK.00713,28.0,18
HK.00716,23.0,32
HK.00717,27.0,52
HK.00718,40.0,45
HK.00719,45.0,33
HK.00720,73.0,21
HK.00722,42.0,27
HK.00723,82.0,90
HK.00725,81.0,73
HK.00726,16.0,7
HK.00727,13.0,46
HK.00728,51.0,60
HK.00730,57.0,53
HK.00731,85.0,17
HK.00732,36.0,33
HK.00733,17.0,12
HK.00736,3.0,48
HK.00737,77.0,79
HK.00738,88.0,88
HK.00743,34.0,9
HK.00745,98.0,38
HK.00746,55.0,72
HK.00747,34.0,15
HK.00750,25.0,23
HK.00751,41.0,17
HK.00752,41.0,29
HK.00753,18.0,20
HK.00754,48.0,57
HK.00755,38.0,65
HK.00756,92.0,98
HK.00757,22.0,30
HK.00759,43.0,33
HK.00760,15.0,16
HK.00762,22.0,23
HK.00763,35.0,31
HK.00764,4.0,11
HK.00765,26.0,90
HK.00767,50.0,79
HK.00769,65.0,57
HK.00771,55.0,61
HK.00772,16.0,31
HK.00775,20.0,38
HK.00776,1.0,4
HK.00777,63.0,82
HK.00780,10.0,7
HK.00784,98.0,48
HK.00788,45.0,50
HK.00789,7.0,10
HK.00794,91.0,93
HK.00797,91.0,90
HK.00798,23.0,39
HK.00799,71.0,46
HK.00800,,25
HK.00804,98.0,98
HK.00805,98.0,97
HK.00806,44.0,43
HK.00807,45.0,45
HK.00809,5.0,18
HK.00811,38.0,20
HK.00813,1.0,1
HK.00814,61.0,66
HK.00815,5.0,16
HK.00816,47.0,36
HK.00817,40.0,16
HK.00818,25.0,36
HK.00819,12.0,11
HK.00821,80.0,96
HK.00822,38.0,10
HK.00825,43.0,47
HK.00826,55.0,53
HK.00827,86.0,79
HK.00828,16.0,17
HK.00829,80.0,97
HK.00830,30.0,79
HK.00831,86.0,76
HK.00832,6.0,11
HK.00833,35.0,9
HK.00834,42.0,38
HK.00836,72.0,70
